,A_i_m2,total_building_footprint_m2,avg_EEI_MJ_per_m2,avg_ECI_kgCO2e_per_m2,EE_class_MJ,EC_class_kgCO2e
1,555036750000,154854.958308082,26.21705442437226,1.5254872063489235,4059840.8698468828,236229.25773867502
2,92352375000,34107787.40512044,5031.110004275462,277.30917862421234,171600030437.60205,9458402510.003204
3,25288312500,51209789.070810206,5059.433176318355,262.0058260435674,259092505777.12228,13417263087.014479
4,11805750000,98445191.99627471,5129.248572563967,257.18982351821273,504949860522.67773,25319101555.73846
5,422437500,29616648.055317406,5273.468801860747,275.8609507234258,156182469535.4061,8170076689.780959
