x_m,y_m,lon,lat
1811213.699813012,7368150.645572807,-96.75475558300849,30.39258790490804
1811010.0174242943,7141167.297900173,-96.82476352921421,28.348795480168967
1506089.7694657454,7702488.552908013,-99.93441507312797,33.44290590962158
1425645.0533746297,7555455.682889966,-100.78950074777295,32.11709009360246
1349813.640550606,7762349.823462255,-101.62687700385646,33.97200583195303
1745658.9864682138,6955598.839516994,-97.53391772951063,26.689713888818495
1570634.1951692873,7031176.255292136,-99.2859309011697,27.39482037687188
1678925.1323852963,7196455.707887303,-98.1635762083665,28.873970794985098
981407.7856717542,7546075.190990198,-105.4970112397996,31.91913266979252
1446695.4650585297,7829855.154410896,-100.58129412933769,34.58877907961984
1731313.562584209,6967659.60205242,-97.67534012283743,26.80144342523584
1461303.7243408705,7187262.60984044,-100.3968684348134,28.803880944282106
1543265.9639997836,7314818.46637997,-99.55096773681333,29.952714005435844
1364643.849853401,7927063.624327175,-101.49027518355499,35.458077954330214
1272510.0624130103,7856366.527092475,-102.48690783224848,34.8059079109723
1660544.6678826786,7339782.043849369,-98.33000159607568,30.16736597743238
1747291.9020448364,7717706.651805623,-97.33321976967622,33.553113078178605
1324264.760521382,7422683.454110997,-101.8423455153803,30.911376263225588
1910832.551101033,7221017.429374443,-95.7753910757604,29.038003587180945
1393653.0405790205,7380122.231087016,-101.11049288250933,30.5366353433936
1418218.932861573,7921447.748869894,-100.8999452100613,35.41265313211481
1505860.9113799764,7779726.601003181,-99.9364018585435,34.138435313447765
1700669.9526614589,7635916.291046774,-97.85295591679878,32.826119878611
1962328.527998961,7227468.72611909,-95.24362193158984,29.077261928286664
1552648.2808360602,7592715.450566562,-99.43897561881974,32.453608785235716
1652537.4731105454,7318103.8570106765,-98.4165078394915,29.97326087337802
1547940.8550172453,7060960.605884502,-99.51402276838641,27.66470177613664
1468526.0218726317,7794154.688833384,-100.34202858849318,34.26797321472743
1873386.1854834203,7554622.039731139,-96.03734790960638,32.051811109951416
1196968.14656184,7390540.719734434,-103.16665614206036,30.59620047646821
1230412.5716679762,7751235.268503097,-102.9166373947685,33.84986082132365
1810988.3443948468,7300512.611680623,-96.77763185099765,29.783911251335947
1483516.199112573,7812141.411173543,-100.17944836040266,34.430324247431926
1475854.9893834866,7710938.650909957,-100.26025840187016,33.51874607954887
2033123.2507306356,7328908.310622183,-94.46426205297243,29.960295979842403
1434067.6379492893,7529778.405988066,-100.69835296310066,31.886518702232248
1554021.094184858,7062981.332567565,-99.45228590209588,27.68267708601486
1112378.3565398564,7464128.626300847,-104.07822846272063,31.233282905569418
1276899.2062382095,7354408.9873964265,-102.32374297084493,30.288880323937114
1821925.1648358996,7427347.578012532,-96.62430608178833,30.92232952234974
2078387.1353895122,7376528.597110799,-93.96822665038842,30.367170417268056
1535252.5309968702,7668712.624870484,-99.62157579267996,33.13831038275007
1475126.373167302,7531741.019116911,-100.26351543382246,31.90578674218078
1447126.283231338,7851541.0255245315,-100.57783077588118,34.7842106751674
1474589.216602568,7279683.805925516,-100.26286515445234,29.636840412556438
1741958.4421002814,7133631.171657778,-97.5311909612173,28.296744355953717
1603546.136302819,7255338.861198122,-98.93134034080398,29.413338423105404
1336187.3553891391,7941463.0123448875,-101.8061178733977,35.58411062776099
1461351.801873181,7714699.502487924,-100.41673859374453,33.55220769301041
2042261.5024426319,7360072.681919093,-94.35304027729738,30.236377334646765
1312799.132901164,7575807.565717747,-101.9914014913483,32.28748160932932
1441511.7515294375,7809702.430103038,-100.63655795099207,34.40695677630416
2050878.2076127103,7297179.16106546,-94.29718549950277,29.666825403954785
1308943.7475624438,7584314.549913071,-102.03406798041874,32.363399872500175
1418884.9676432125,8013320.908916812,-100.90084596186433,36.241608870726104
1892001.347715123,7575268.322585348,-95.83172305283401,32.23134401885904
2103886.7418377283,7462266.9479764225,-93.65163394717754,31.124890884222836
1522767.178120767,7436466.386998418,-99.76098759303909,31.048374777287627
2072493.3082019512,7534950.226396672,-93.93918473178826,31.79383149744156
1644727.481230434,7501836.151192858,-98.471229471165,31.62792479755494
1957435.3729794587,7230737.317580378,-95.2924717089875,29.10856804061447
1730975.9762616456,7518374.098653814,-97.5565606343261,31.76280938928374
1360636.6917739285,7327337.945637976,-101.44800544903403,30.058029645894074
2052511.6345229198,7429270.035042776,-94.20881669003384,30.853688912579017
