,current,sprawl,mixed,dense
low,411200000000.0,446479640000.0,437638655000.0,428838275000.0
average,411200000000.0,453420800000.0,442865240000.0,432300095000.0
high,411200000000.0,464424110000.0,451161920000.0,437826395000.0
