,baseline,sprawl,mixed,dense
low,7885000000000.0,8765035000000.0,8455207780000.0,8131855840000.0
average,7885000000000.0,8941042000000.0,8560671580000.0,8180312920000.0
high,7885000000000.0,9211822000000.0,8734743580000.0,8257659280000.0
