,current,sprawl,mixed,dense
low,7885000000000.0,8323680250000.0,8166719980000.0,8007927280000.0
average,7885000000000.0,8414692750000.0,8224865620000.0,8033347570000.0
high,7885000000000.0,8562133000000.0,8318372050000.0,8074613410000.0
