,current,sprawl,mixed,dense
low,411200000000.0,476801810000.0,460362095000.0,443995040000.0
average,411200000000.0,491131400000.0,471152465000.0,451158905000.0
high,411200000000.0,513439610000.0,487874840000.0,462324785000.0
