,current,sprawl,mixed,dense
low,411200000000.0,489106700000.0,469635695000.0,450164480000.0
average,411200000000.0,507469910000.0,483397340000.0,459340745000.0
high,411200000000.0,535848020000.0,504686075000.0,473520515000.0
