,current,sprawl,mixed,dense
low,7885000000000.0,9525045250000.0,8933678830000.0,8344130560000.0
average,7885000000000.0,9883285000000.0,9164034100000.0,8444424670000.0
high,7885000000000.0,10440990250000.0,9520686580000.0,8600746990000.0
