,current,sprawl,mixed,dense
low,7885000000000.0,9832667500000.0,9131586580000.0,8430502720000.0
average,7885000000000.0,10291747750000.0,9425164270000.0,8558970430000.0
high,7885000000000.0,11001200500000.0,9879384010000.0,8757487210000.0
