,current,sprawl,mixed,dense
low,411200000000.0,428747210000.0,424400705000.0,419980520000.0
average,411200000000.0,432387710000.0,427125560000.0,421796255000.0
high,411200000000.0,438285320000.0,431514485000.0,424743815000.0
