,current,sprawl,mixed,dense
low,7885000000000.0,8766991000000.0,8448961390000.0,8131935850000.0
average,7885000000000.0,8940520000000.0,8560577260000.0,8180401330000.0
high,7885000000000.0,9215602750000.0,8737599940000.0,8257769530000.0
