,current,sprawl,mixed,dense
low,7885000000000.0,9170096500000.0,8707500820000.0,8244897580000.0
average,7885000000000.0,9432859750000.0,8875326040000.0,8318436220000.0
high,7885000000000.0,9847172500000.0,9140761150000.0,8434295110000.0
