sample_id,geometry,building_area_m2,coverage_fraction,class,class_id
844,POINT (969634.9715 7504216.216),0.0,0.0,Unoccupied,1
847,POINT (1143094.156 7320367.804),0.0,0.0,Unoccupied,1
850,POINT (1087602.982 7322792.556),0.0,0.0,Unoccupied,1
860,POINT (1116561.801 7320318.319),0.0,0.0,Unoccupied,1
862,POINT (1402286.723 7274883.978),0.0,0.0,Unoccupied,1
866,POINT (1246565.584 7352973.386),0.0,0.0,Unoccupied,1
870,POINT (1170348.693 7407045.313),0.0,0.0,Unoccupied,1
873,POINT (1176132.561 7486130.241),385.9323407361078,0.00014900930980954992,Rural,2
889,POINT (1374664.023 7342432.617),0.0,0.0,Unoccupied,1
917,POINT (1201654.309 7362606.077),750.6587176063921,0.0002898309511965323,Rural,2
923,POINT (1388006.613 7380065.94),0.0,0.0,Unoccupied,1
928,POINT (1149864.243 7537386.922),129.11132761089954,4.98501622828492e-05,Unoccupied,1
938,POINT (1414747.243 7270281.082),1310.6974416689864,0.0005060631114244571,Rural,2
941,POINT (1181952.893 7334903.696),0.0,0.0,Unoccupied,1
947,POINT (1170116.909 7274733.692),550.8418510561911,0.00021268122770831183,Rural,2
952,POINT (1108619.667 7325957.47),0.0,0.0,Unoccupied,1
953,POINT (1141380.885 7522167.317),0.0,0.0,Unoccupied,1
956,POINT (1200751.827 7541103.993),0.0,0.0,Unoccupied,1
962,POINT (1039663.903 7444174.498),7022.849363955415,0.0027115372985416285,Slightly Rural,3
985,POINT (1236939.563 7394714.493),0.0,0.0,Unoccupied,1
986,POINT (1142252.988 7509771.008),66.39238664549288,2.5634243794609455e-05,Unoccupied,1
987,POINT (1161681.174 7236774.191),0.0,0.0,Unoccupied,1
996,POINT (1166511.199 7397699.219),76.09966823243289,2.9382246168906332e-05,Unoccupied,1
1008,POINT (1151660.973 7323250.563),0.0,0.0,Unoccupied,1
1019,POINT (1067879.898 7325202.726),0.0,0.0,Unoccupied,1
1035,POINT (1265813.42 7407761.003),2617.959012434839,0.0010107996256767413,Slightly Rural,3
1044,POINT (1112942.966 7513375.996),0.0,0.0,Unoccupied,1
1054,POINT (1111365.053 7456178.258),0.0,0.0,Unoccupied,1
1056,POINT (1044007.709 7417903.213),103.64454349496563,4.0017381964552645e-05,Unoccupied,1
1066,POINT (968094.3878 7524067.361),0.0,0.0,Unoccupied,1
1073,POINT (1386278.686 7303833.791),0.0,0.0,Unoccupied,1
1080,POINT (1127661.247 7265057.189),0.0,0.0,Unoccupied,1
1084,POINT (1103215.135 7272147.229),0.0,0.0,Unoccupied,1
1100,POINT (1062030.511 7519896.244),0.0,0.0,Unoccupied,1
1104,POINT (1231889.966 7294642.314),0.0,0.0,Unoccupied,1
1119,POINT (982617.0138 7535553.249),0.0,0.0,Unoccupied,1
1123,POINT (1025904.525 7457539.571),421.52121289449303,0.0001627502501699936,Rural,2
1138,POINT (1118962.673 7435555.981),0.0,0.0,Unoccupied,1
1175,POINT (1196276.872 7285701.902),0.0,0.0,Unoccupied,1
1176,POINT (1129791.915 7478685.228),0.0,0.0,Unoccupied,1
1180,POINT (1415352.732 7348129.051),0.0,0.0,Unoccupied,1
1181,POINT (1398038.942 7281172.265),0.0,0.0,Unoccupied,1
1183,POINT (1147731.033 7305134.638),0.0,0.0,Unoccupied,1
1187,POINT (1084997.553 7310352.698),0.0,0.0,Unoccupied,1
1204,POINT (1110808.335 7261704.612),0.0,0.0,Unoccupied,1
1207,POINT (1101005.64 7490043.59),0.0,0.0,Unoccupied,1
1208,POINT (1096078.346 7424068.196),0.0,0.0,Unoccupied,1
1214,POINT (1336650.207 7378404.098),0.0,0.0,Unoccupied,1
1223,POINT (1018250.099 7523939.986),0.0,0.0,Unoccupied,1
1225,POINT (1106849.428 7421540.054),0.0,0.0,Unoccupied,1
1227,POINT (1370261.233 7395414.2),0.0,0.0,Unoccupied,1
1242,POINT (1107996.865 7536535.995),0.0,0.0,Unoccupied,1
1247,POINT (1119252.529 7316542.537),741.4523777160648,0.0002862763634926015,Rural,2
1274,POINT (1296512.549 7320394.495),359.87002079258025,0.0001389465918227301,Rural,2
1286,POINT (1102538.422 7390441.442),1180.5325859603458,0.000455806179668985,Rural,2
1288,POINT (1370444.411 7372643.144),1236.4335328447162,0.000477389655925607,Rural,2
1303,POINT (1131161.228 7336385.082),0.0,0.0,Unoccupied,1
1322,POINT (1074206.896 7290885.072),0.0,0.0,Unoccupied,1
1331,POINT (1229221.315 7348080.749),0.0,0.0,Unoccupied,1
1332,POINT (1416737.711 7331404.701),0.0,0.0,Unoccupied,1
1337,POINT (1219066.446 7264662.255),0.0,0.0,Unoccupied,1
1340,POINT (1245716.18 7309282.773),58.041146479006,2.2409811939822496e-05,Unoccupied,1
1347,POINT (1233673.512 7336470.522),0.0,0.0,Unoccupied,1
1348,POINT (1307380.842 7392834.655),0.0,0.0,Unoccupied,1
1359,POINT (1064290.349 7300042.911),0.0,0.0,Unoccupied,1
1365,POINT (1333655.117 7331447.197),0.0,0.0,Unoccupied,1
1389,POINT (1015995.116 7514998.635),0.0,0.0,Unoccupied,1
1391,POINT (1394538.724 7277837.874),0.0,0.0,Unoccupied,1
1409,POINT (1272747.127 7315444.242),161.05054886016325,6.218196454935467e-05,Unoccupied,1
1429,POINT (1184061.558 7430024.015),0.0,0.0,Unoccupied,1
1434,POINT (1022275.008 7435031.349),0.0,0.0,Unoccupied,1
1436,POINT (1198347.559 7496242.57),0.0,0.0,Unoccupied,1
1437,POINT (1223669.164 7370580.989),0.0,0.0,Unoccupied,1
1438,POINT (1122636.156 7519249.806),0.0,0.0,Unoccupied,1
1439,POINT (1389601.723 7395152.597),0.0,0.0,Unoccupied,1
1440,POINT (1084588.262 7377163.203),0.0,0.0,Unoccupied,1
1444,POINT (946842.0659 7479655.307),0.0,0.0,Unoccupied,1
1461,POINT (1058705.016 7394125.107),0.0,0.0,Unoccupied,1
1467,POINT (1361483.648 7338528.881),0.0,0.0,Unoccupied,1
1476,POINT (1338273.693 7403692.054),0.0,0.0,Unoccupied,1
1478,POINT (1392433.243 7321946.879),0.0,0.0,Unoccupied,1
1480,POINT (1141663.471 7333867.174),0.0,0.0,Unoccupied,1
1484,POINT (1433018.81 7284996.249),0.0,0.0,Unoccupied,1
1489,POINT (1295110.365 7305528.353),0.0,0.0,Unoccupied,1
1497,POINT (1158521.988 7492999.068),0.0,0.0,Unoccupied,1
1507,POINT (1218953.685 7335406.881),0.0,0.0,Unoccupied,1
1508,POINT (1343693.978 7326147.586),0.0,0.0,Unoccupied,1
1513,POINT (1173153.136 7428801.201),0.0,0.0,Unoccupied,1
1515,POINT (1131790.056 7397325.67),1900.8530325817278,0.0007339234589517592,Rural,2
1519,POINT (1110267.22 7315262.901),0.0,0.0,Unoccupied,1
1522,POINT (1147376.98 7279717.429),0.0,0.0,Unoccupied,1
1532,POINT (1310943.826 7337710.828),0.0,0.0,Unoccupied,1
1542,POINT (1429981.273 7331500.379),0.0,0.0,Unoccupied,1
1544,POINT (1208731.312 7475603.41),0.0,0.0,Unoccupied,1
1549,POINT (1112416.79 7321955.29),0.0,0.0,Unoccupied,1
1567,POINT (1069706.945 7338963.573),0.0,0.0,Unoccupied,1
1579,POINT (943198.5187 7488764.456),0.0,0.0,Unoccupied,1
1583,POINT (935763.6571 7512307.089),0.0,0.0,Unoccupied,1
1604,POINT (1270511.619 7358655.458),0.0,0.0,Unoccupied,1
1606,POINT (1103948.398 7278643.629),0.0,0.0,Unoccupied,1
1610,POINT (1130995.262 7493149.686),0.0,0.0,Unoccupied,1
1613,POINT (877019.9628 7554747.205),53429.71098478841,0.020629326741525837,Urban,5
1621,POINT (1029967.953 7434080.604),210.00656516918195,8.108398811990598e-05,Unoccupied,1
1625,POINT (1221493.998 7358862.013),0.0,0.0,Unoccupied,1
1630,POINT (1370885.789 7406421.258),0.0,0.0,Unoccupied,1
1639,POINT (1019358.417 7466553.774),0.0,0.0,Unoccupied,1
1642,POINT (1169814.063 7421626.118),0.0,0.0,Unoccupied,1
1645,POINT (1333510.891 7414086.942),1306.2683829999783,0.0005043530423120419,Rural,2
1652,POINT (1342761.426 7328388.397),0.0,0.0,Unoccupied,1
1654,POINT (921815.6064 7527463.296),0.0,0.0,Unoccupied,1
1656,POINT (1168803.672 7500533.37),0.0,0.0,Unoccupied,1
1658,POINT (908965.6832 7512128.23),24337.012063823477,0.009396572890315789,Suburban,4
1670,POINT (900304.2769 7557634.546),0.0,0.0,Unoccupied,1
1680,POINT (1221197.92 7303381.349),0.0,0.0,Unoccupied,1
1687,POINT (1205963.933 7424816.169),0.0,0.0,Unoccupied,1
1688,POINT (1223345.242 7365935.887),0.0,0.0,Unoccupied,1
1697,POINT (1001786.456 7465679.261),0.0,0.0,Unoccupied,1
1700,POINT (997912.5811 7512292.653),432.7798943716171,0.00016709725139065306,Rural,2
1701,POINT (1086245.771 7510439.931),0.0,0.0,Unoccupied,1
1714,POINT (1082342.468 7543196.334),0.0,0.0,Unoccupied,1
1721,POINT (1113328.677 7304197.021),0.0,0.0,Unoccupied,1
1724,POINT (1415756.153 7294119.87),0.0,0.0,Unoccupied,1
1726,POINT (1069849.683 7482920.855),0.0,0.0,Unoccupied,1
1730,POINT (1012739.3 7502450.425),0.0,0.0,Unoccupied,1
1738,POINT (1158589.514 7369450.934),0.0,0.0,Unoccupied,1
1753,POINT (1232030.506 7342646.565),525.3136535159833,0.00020282473553433965,Rural,2
1758,POINT (1215513.11 7322960.933),0.0,0.0,Unoccupied,1
1760,POINT (1059948.579 7360629.57),0.0,0.0,Unoccupied,1
1772,POINT (1316533.523 7372219.438),0.0,0.0,Unoccupied,1
1773,POINT (916388.8412 7543396.158),30872.22096574725,0.011919831153874365,Suburban,4
1775,POINT (1295984.193 7400683.876),0.0,0.0,Unoccupied,1
1789,POINT (1435747.288 7258219.673),0.0,0.0,Unoccupied,1
