,A_i_m2,total_building_footprint_m2,avg_EEI_MJ_per_m2,avg_ECI_kgCO2e_per_m2,EE_class_MJ,EC_class_kgCO2e
1,538150500000,1117623.4441849468,193.88226347923225,11.274283998705707,216687363.07603288,12600404.113352707
2,70393500000,26083678.241495226,5030.1441259210505,274.9633815369894,131204660888.87193,7172056372.204321
3,45270000000,94743033.06328733,5070.456884308133,259.0259298869852,480390464235.97833,24540902239.531384
4,15090750000,125432262.64822072,5139.179105893793,258.3946649854465,644618863406.7184,32411027485.35353
5,15957000000,1257642010.8953578,5270.576659070744,276.0011584161372,6628498628091.868,347110651879.91895
