sample_id,building_count,building_area_m2,coverage_fraction,total_ee_mj,total_ec_kgco2e,avg_eei_mj_m2,avg_eci_kgco2e_m2
2225,81,11688.151726488715,0.004512820610968908,58440758.63244359,2827932.2460889737,5000.000000000001,241.9486256051986
2226,0,0.0,0.0,0.0,0.0,0.0,0.0
2227,0,0.0,0.0,0.0,0.0,0.0,0.0
2228,356,42305.10226487039,0.016334091301825372,211525511.32435188,9410516.09851711,4999.999999999998,222.44399835268763
2229,0,0.0,0.0,0.0,0.0,0.0,0.0
2230,0,0.0,0.0,0.0,0.0,0.0,0.0
2231,0,0.0,0.0,0.0,0.0,0.0,0.0
2232,0,0.0,0.0,0.0,0.0,0.0,0.0
2233,0,0.0,0.0,0.0,0.0,0.0,0.0
2234,0,0.0,0.0,0.0,0.0,0.0,0.0
2235,0,0.0,0.0,0.0,0.0,0.0,0.0
2236,0,0.0,0.0,0.0,0.0,0.0,0.0
2237,0,0.0,0.0,0.0,0.0,0.0,0.0
2238,0,0.0,0.0,0.0,0.0,0.0,0.0
2239,6,1220.6456249371022,0.0004712939106036079,6103228.12468551,244129.12498742042,4999.999999999999,200.0
2240,0,0.0,0.0,0.0,0.0,0.0,0.0
2241,0,0.0,0.0,0.0,0.0,0.0,0.0
2242,0,0.0,0.0,0.0,0.0,0.0,0.0
2243,0,0.0,0.0,0.0,0.0,0.0,0.0
2244,0,0.0,0.0,0.0,0.0,0.0,0.0
2245,0,0.0,0.0,0.0,0.0,0.0,0.0
2246,0,0.0,0.0,0.0,0.0,0.0,0.0
2247,0,0.0,0.0,0.0,0.0,0.0,0.0
2248,0,0.0,0.0,0.0,0.0,0.0,0.0
2249,0,0.0,0.0,0.0,0.0,0.0,0.0
2250,0,0.0,0.0,0.0,0.0,0.0,0.0
2251,0,0.0,0.0,0.0,0.0,0.0,0.0
2252,0,0.0,0.0,0.0,0.0,0.0,0.0
2253,0,0.0,0.0,0.0,0.0,0.0,0.0
2254,0,0.0,0.0,0.0,0.0,0.0,0.0
2255,0,0.0,0.0,0.0,0.0,0.0,0.0
2256,1,95.3172633172899,3.680220111316432e-05,476586.3165864495,28595.17899518697,5000.0,300.0
2257,0,0.0,0.0,0.0,0.0,0.0,0.0
2258,10,2025.9466764636195,0.0007822223848744977,10129733.382318098,564193.220247488,5000.0,278.48374629104876
2259,72,14061.65295364981,0.00542923455807895,70308264.76824905,3522629.0704225493,5000.0,250.51315674152121
2260,0,0.0,0.0,0.0,0.0,0.0,0.0
2261,0,0.0,0.0,0.0,0.0,0.0,0.0
2262,49,8160.516682153037,0.003150793105800926,40802583.41076519,1881233.4615038221,5000.000000000001,230.52871953782773
2263,0,0.0,0.0,0.0,0.0,0.0,0.0
2264,0,0.0,0.0,0.0,0.0,0.0,0.0
2265,0,0.0,0.0,0.0,0.0,0.0,0.0
2266,21,3645.22269618182,0.0014074283513637149,18890756.757654104,962145.21436461,5182.332694636512,263.94689558265037
2267,0,0.0,0.0,0.0,0.0,0.0,0.0
2268,0,0.0,0.0,0.0,0.0,0.0,0.0
2269,0,0.0,0.0,0.0,0.0,0.0,0.0
2270,0,0.0,0.0,0.0,0.0,0.0,0.0
2271,0,0.0,0.0,0.0,0.0,0.0,0.0
2272,0,0.0,0.0,0.0,0.0,0.0,0.0
2273,7,788.9910272147098,0.00030463113867822106,3944955.1360735493,221207.02202035254,5000.0,280.3669679251688
2274,65,9845.630412521006,0.003801419154485512,49228152.06260503,2036874.7421530676,5000.0,206.88108905273432
2275,0,0.0,0.0,0.0,0.0,0.0,0.0
2276,65,9079.899539381251,0.0035057688115036605,45498360.43554756,2322811.788283669,5010.888087275913,255.81910661116817
2277,0,0.0,0.0,0.0,0.0,0.0,0.0
2278,0,0.0,0.0,0.0,0.0,0.0,0.0
2279,0,0.0,0.0,0.0,0.0,0.0,0.0
2280,0,0.0,0.0,0.0,0.0,0.0,0.0
2281,0,0.0,0.0,0.0,0.0,0.0,0.0
2282,128,23899.58298728664,0.009227680579655688,120240105.46998145,5017217.864373654,5031.054539066353,209.92909654710536
2283,0,0.0,0.0,0.0,0.0,0.0,0.0
2284,0,0.0,0.0,0.0,0.0,0.0,0.0
2285,0,0.0,0.0,0.0,0.0,0.0,0.0
2286,0,0.0,0.0,0.0,0.0,0.0,0.0
2287,0,0.0,0.0,0.0,0.0,0.0,0.0
2288,0,0.0,0.0,0.0,0.0,0.0,0.0
2289,11,3304.338164269109,0.001275812097778486,16521690.821345542,991301.4492807327,4999.999999999999,300.0
2290,0,0.0,0.0,0.0,0.0,0.0,0.0
2291,0,0.0,0.0,0.0,0.0,0.0,0.0
2292,0,0.0,0.0,0.0,0.0,0.0,0.0
2293,0,0.0,0.0,0.0,0.0,0.0,0.0
2294,0,0.0,0.0,0.0,0.0,0.0,0.0
2295,0,0.0,0.0,0.0,0.0,0.0,0.0
2296,0,0.0,0.0,0.0,0.0,0.0,0.0
2297,6,2881.3442150666397,0.001112493220941019,14406721.075333199,852731.1014733149,5000.0,295.94905635166987
2298,0,0.0,0.0,0.0,0.0,0.0,0.0
2299,0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0,0.0,0.0,0.0,0.0,0.0,0.0
2301,0,0.0,0.0,0.0,0.0,0.0,0.0
2302,0,0.0,0.0,0.0,0.0,0.0,0.0
2303,0,0.0,0.0,0.0,0.0,0.0,0.0
2304,0,0.0,0.0,0.0,0.0,0.0,0.0
2305,0,0.0,0.0,0.0,0.0,0.0,0.0
2306,0,0.0,0.0,0.0,0.0,0.0,0.0
2307,0,0.0,0.0,0.0,0.0,0.0,0.0
2308,0,0.0,0.0,0.0,0.0,0.0,0.0
2309,0,0.0,0.0,0.0,0.0,0.0,0.0
2310,37,6992.809902508242,0.0026999389976354224,34964049.51254122,1778368.9536105597,5000.000000000002,254.31392793513217
2311,0,0.0,0.0,0.0,0.0,0.0,0.0
2312,0,0.0,0.0,0.0,0.0,0.0,0.0
2313,0,0.0,0.0,0.0,0.0,0.0,0.0
2314,0,0.0,0.0,0.0,0.0,0.0,0.0
2315,0,0.0,0.0,0.0,0.0,0.0,0.0
2316,0,0.0,0.0,0.0,0.0,0.0,0.0
2317,0,0.0,0.0,0.0,0.0,0.0,0.0
2318,1,580.5175534825211,0.00022413908047138112,2902587.767412605,174155.2660447563,5000.0,300.0
2319,0,0.0,0.0,0.0,0.0,0.0,0.0
2320,70,44488.06799149569,0.01717693908089958,222440339.9574785,13346420.397448706,5000.000000000001,299.99999999999994
2321,0,0.0,0.0,0.0,0.0,0.0,0.0
2322,0,0.0,0.0,0.0,0.0,0.0,0.0
2323,0,0.0,0.0,0.0,0.0,0.0,0.0
2324,0,0.0,0.0,0.0,0.0,0.0,0.0
2325,0,0.0,0.0,0.0,0.0,0.0,0.0
2326,0,0.0,0.0,0.0,0.0,0.0,0.0
2327,0,0.0,0.0,0.0,0.0,0.0,0.0
2328,0,0.0,0.0,0.0,0.0,0.0,0.0
2329,0,0.0,0.0,0.0,0.0,0.0,0.0
2330,0,0.0,0.0,0.0,0.0,0.0,0.0
2331,0,0.0,0.0,0.0,0.0,0.0,0.0
2332,0,0.0,0.0,0.0,0.0,0.0,0.0
2333,0,0.0,0.0,0.0,0.0,0.0,0.0
2334,0,0.0,0.0,0.0,0.0,0.0,0.0
2335,0,0.0,0.0,0.0,0.0,0.0,0.0
2336,0,0.0,0.0,0.0,0.0,0.0,0.0
2337,0,0.0,0.0,0.0,0.0,0.0,0.0
2338,0,0.0,0.0,0.0,0.0,0.0,0.0
2339,0,0.0,0.0,0.0,0.0,0.0,0.0
2340,0,0.0,0.0,0.0,0.0,0.0,0.0
2341,0,0.0,0.0,0.0,0.0,0.0,0.0
2342,0,0.0,0.0,0.0,0.0,0.0,0.0
2343,0,0.0,0.0,0.0,0.0,0.0,0.0
2344,4,879.5057073533496,0.00033957905205952895,4397528.536766748,263851.7122060049,5000.0,300.0
2345,0,0.0,0.0,0.0,0.0,0.0,0.0
2346,0,0.0,0.0,0.0,0.0,0.0,0.0
2347,0,0.0,0.0,0.0,0.0,0.0,0.0
2348,0,0.0,0.0,0.0,0.0,0.0,0.0
2349,0,0.0,0.0,0.0,0.0,0.0,0.0
2350,0,0.0,0.0,0.0,0.0,0.0,0.0
2351,0,0.0,0.0,0.0,0.0,0.0,0.0
2352,0,0.0,0.0,0.0,0.0,0.0,0.0
2353,1,136.31754070006957,5.2632496711494574e-05,681587.7035003479,40895.26221002087,5000.0,300.0
2354,0,0.0,0.0,0.0,0.0,0.0,0.0
2355,2,318.68646871642295,0.00012304553346968052,1593432.343582115,95605.94061492689,5000.000000000001,300.0
2356,8,1394.6913007340686,0.0005384933217137954,6973456.503670343,307856.5688325218,5000.0,220.7345587302993
2357,0,0.0,0.0,0.0,0.0,0.0,0.0
2358,0,0.0,0.0,0.0,0.0,0.0,0.0
2359,3,539.3225213714054,0.000208233589652054,2696612.606857027,114607.421267033,5000.0,212.50256891851248
2360,0,0.0,0.0,0.0,0.0,0.0,0.0
2361,0,0.0,0.0,0.0,0.0,0.0,0.0
2362,0,0.0,0.0,0.0,0.0,0.0,0.0
2363,0,0.0,0.0,0.0,0.0,0.0,0.0
2364,0,0.0,0.0,0.0,0.0,0.0,0.0
2365,0,0.0,0.0,0.0,0.0,0.0,0.0
2366,0,0.0,0.0,0.0,0.0,0.0,0.0
2367,0,0.0,0.0,0.0,0.0,0.0,0.0
2368,0,0.0,0.0,0.0,0.0,0.0,0.0
2369,0,0.0,0.0,0.0,0.0,0.0,0.0
2370,92,20689.437284735854,0.007988236394665072,105599679.25973439,6422080.46902627,5104.038249394205,310.40382493942064
2371,32,4865.144857212237,0.001878442930991324,24325724.286061183,1057675.1683072986,4999.999999999999,217.3984946695614
2372,0,0.0,0.0,0.0,0.0,0.0,0.0
2373,0,0.0,0.0,0.0,0.0,0.0,0.0
2374,0,0.0,0.0,0.0,0.0,0.0,0.0
2375,0,0.0,0.0,0.0,0.0,0.0,0.0
2376,0,0.0,0.0,0.0,0.0,0.0,0.0
2377,38,7705.659677842116,0.002975171834608329,38832698.17749064,2090778.9235519408,5039.503404121956,271.33029629689537
2378,0,0.0,0.0,0.0,0.0,0.0,0.0
2379,0,0.0,0.0,0.0,0.0,0.0,0.0
2380,0,0.0,0.0,0.0,0.0,0.0,0.0
2381,0,0.0,0.0,0.0,0.0,0.0,0.0
2382,0,0.0,0.0,0.0,0.0,0.0,0.0
2383,38,5246.9652926974395,0.0020258646253077774,26234826.463487197,1249805.2525912884,5000.0,238.19582994587898
2384,0,0.0,0.0,0.0,0.0,0.0,0.0
2385,0,0.0,0.0,0.0,0.0,0.0,0.0
2386,0,0.0,0.0,0.0,0.0,0.0,0.0
