,Sprawling development,"Half sprawling, half dense",Dense development,Current housing distribution
low migration,1345280150000.0,1342238553834.6406,1327637990000.0,1345478801673.0247
average migration,1352219750000.0,1348596773438.2058,1331100230000.0,1352427863668.8613
high migration,1363224110000.0,1358708404477.1838,1336626560000.0,1363584780888.1821
