,Sprawling development,Dense development,Current housing distribution
low migration,8570703035200.0,7293822850000.0,9023483344383.262
average migration,9068378794000.0,7434148555000.0,9503001688580.256
high migration,9566054552800.0,7658335180000.0,10268186967257.246
