,Sprawling development,Dense development,Current housing distribution
low migration,562510397400.6,450889282416.0,603783476285.5862
average migration,597012476880.72,464199147579.0,650504213534.7357
high migration,654515942680.9199,484950727524.0,723295724396.4397
