,Sprawling development,Dense development,Current housing distribution
low migration,9689445236800.0,7621003405000.0,10282462018282.512
average migration,10207686109600.0,7834037590000.0,11039209260244.121
high migration,11244167855200.0,8169643900000.0,12231006925122.914
