,sprawl,mixed,dense,current_dist
low migration,25138680250000.0,25005442517933.008,24822935470000.0,25136232966814.117
average migration,25229692750000.0,25068457912130.336,24848339170000.0,25221701977795.117
high migration,25377133000000.0,25170161014095.367,24889612990000.0,25370076981602.87
