,Sprawling development,Dense development,Current housing distribution
low migration,11614339907200.0,8158614310000.0,12621007326620.11
average migration,12733082108800.0,8530768495000.0,14043437177826.309
high migration,14411195411200.0,9105778450000.0,16241686119661.006
