,Sprawling development,Dense development,Current housing distribution
low migration,604913716456.3201,462394391925.0,653314639861.5083
average migration,652672320113.28,479577561825.0,715322456298.3564
high migration,724310225598.72,505806789936.0,811134467143.9766
