,Sprawling development,Dense development,Current housing distribution
low migration,10621044901000.0,7908567760000.0,11483546485043.809
average migration,11429253881200.0,8198981065000.0,12555351998243.648
high migration,12776268848200.0,8651768140000.0,14224978498550.355
